cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq,jitter
140,2763.8729,2782.0613,20,18.1884,0,20,0,PI,none yet,30,21.7833556487023,8.21664435129774,1,0,30,39,-1.8116
141,2783.6035,2793.3388,20,9.73530000000028,0,20,0,PI,none yet,30,21.7940055817562,8.20599441824385,1,0,30,39,-10.2646999999997
142,2806.8488,2825.3954,20,18.5466000000001,0,20,0,PI,none yet,30,21.8046235650109,8.19537643498911,1,0,30,39,-1.45339999999987
143,2829.4937,2854.5305,20,25.0368000000003,0,20,1,PI,none yet,30,21.8152096943159,8.18479030568415,1,0,30,39,5.03680000000031
144,2856.1169,2884.5435,20,28.4265999999998,0,20,1,PI,none yet,30,21.8257640652329,8.17423593476709,1,0,30,39,8.42659999999978
145,2886.6857,2914.2945,20,27.6088,0,20,1,PI,none yet,30,21.8362867730372,8.16371322696279,1,0,30,39,7.60879999999997
146,2916.4579,2930.6102,20,14.1522999999993,0,20,0,PI,none yet,30,21.8467779127181,8.1532220872819,1,0,30,39,-5.84770000000071
147,2932.7657,2946.1944,20,13.4286999999999,0,20,0,PI,none yet,30,21.8572375789799,8.14276242102006,1,0,30,39,-6.57130000000006
148,2948.1069,2962.2563,20,14.1494000000002,0,20,0,PI,none yet,30,21.867665866243,8.132334133757,1,0,30,39,-5.85059999999976
149,2964.058,2991.802,20,27.7439999999997,0,20,1,PI,none yet,30,21.8780628686443,8.12193713135573,1,0,30,39,7.74399999999969
150,2993.456,3007.3767,20,13.9206999999997,0,20,0,PI,none yet,30,21.8884286800383,8.11157131996166,1,0,30,39,-6.07930000000033
151,3009.0773,3022.4522,20,13.3749000000003,0,20,0,PI,none yet,30,21.8987633939982,8.10123660600178,1,0,30,39,-6.62509999999975
152,3024.1266,3037.6701,20,13.5435000000002,0,20,0,PI,none yet,30,21.9090671038162,8.09093289618377,1,0,30,39,-6.45649999999978
153,3039.3439,3052.6699,20,13.3260000000005,0,20,0,PI,none yet,30,21.9193399025048,8.08066009749522,1,0,30,39,-6.67399999999952
154,3054.4066,3068.3445,20,13.9378999999994,0,20,0,PI,none yet,30,21.9295818827973,8.07041811720274,1,0,30,39,-6.06210000000056
155,3070.0748,3098.489,20,28.4142000000002,0,20,1,PI,none yet,30,21.9397931371489,8.06020686285113,1,0,30,39,8.41420000000016
156,3100.2931,3113.6817,20,13.3886000000002,0,20,0,PI,none yet,30,21.9499737577374,8.05002624226258,1,0,30,39,-6.61139999999978
157,3115.4606,3143.4459,20,27.9853000000003,0,20,1,PI,none yet,30,21.9601238364642,8.03987616353579,1,0,30,39,7.98530000000028
158,3145.1809,3176.8038,20,31.6228999999998,0,20,1,PI,none yet,30,21.9702434649548,8.02975653504518,1,0,30,39,11.6228999999998
159,3178.5075,3192.1395,20,13.6320000000005,0,20,0,PI,none yet,30,21.98033273456,8.01966726544005,1,0,30,39,-6.36799999999948
160,3193.7782,3207.5727,20,13.7945,0,20,0,PI,none yet,30,21.9903917363563,8.00960826364372,1,0,30,39,-6.20550000000003
161,3209.3447,3237.762,20,28.4173000000001,0,20,1,PI,none yet,30,22.0004205611472,7.99957943885279,1,0,30,39,8.41730000000007
162,3239.4808,3254.7007,20,15.2199000000001,0,20,0,PI,none yet,30,22.0104192994638,7.98958070053623,1,0,30,39,-4.78009999999995
163,3256.5647,3270.4014,20,13.8366999999994,0,20,0,PI,none yet,30,22.0203880415654,7.97961195843462,1,0,30,39,-6.16330000000062
164,3272.0897,3299.8194,20,27.7296999999999,0,20,1,PI,none yet,30,22.0303268774407,7.96967312255932,1,0,30,39,7.72969999999987
165,3301.5268,3330.6302,20,29.1034,0,20,1,PI,none yet,30,22.0402358968084,7.95976410319164,1,0,30,39,9.10339999999997
166,3332.4034,3347.538,20,15.1345999999999,0,20,0,PI,none yet,30,22.0501151891179,7.94988481088207,1,0,30,39,-4.86540000000014
167,3349.4935,3362.9771,20,13.4836,0,20,0,PI,none yet,30,22.0599648435506,7.94003515644942,1,0,30,39,-6.51639999999998
168,3365.1304,3378.2278,20,13.0974000000001,0,20,0,PI,none yet,30,22.0697849490199,7.93021505098007,1,0,30,39,-6.90259999999989
169,3379.8751,3393.7874,20,13.9122999999995,0,20,0,PI,none yet,30,22.0795755941729,7.92042440582713,1,0,30,39,-6.0877000000005
170,3395.5126,3424.5813,20,29.0686999999998,0,20,1,PI,none yet,30,22.0893368673903,7.91066313260965,1,0,30,39,9.06869999999981
171,3426.8181,3440.5946,20,13.7764999999995,0,20,0,PI,none yet,30,22.0990688567882,7.90093114321182,1,0,30,39,-6.22350000000051
